day,start_span,original_entity,lat,lng,resolved_entity
213,278,Tomb,59.31943,10.80524,Tomb
213,1248,London,51.50853,-0.12574,London
215,918,Baghdad,33.34058,44.40088,Baghdad
216,279,Vienna,48.20849,16.37208,Vienna
216,518,Passengers,47.62769,-53.70091,Passengers
218,85,River,45.75278,0.36194,River
218,273,For,39.21455,-76.51941,For
218,433,England,52.16045,-0.70312,England
218,805,Paris,48.85341,2.3488,Paris
218,844,Paris,48.85341,2.3488,Paris
218,941,Vienna,48.20849,16.37208,Vienna
218,968,Baghdad,33.34058,44.40088,Baghdad
219,359,Paris,48.85341,2.3488,Paris
219,633,Paris,48.85341,2.3488,Paris
21,1123,Erly,40.40897,-77.33888,Erly
223,368,Vienna,48.20849,16.37208,Vienna
224,170,Cairo,30.06263,31.24967,Cairo
225,383,river,45.75278,0.36194,River
225,1607,Memlah,34.30101,70.10191,Memlah
226,464,Coot,51.16679,-56.8148,Coot
227,931,Bombay,19.07283,72.88261,Bombay
229,578,Baghdad,33.34058,44.40088,Baghdad
22,358,Coot,51.16679,-56.8148,Coot
22,415,Coot,51.16679,-56.8148,Coot
230,502,Baghdad,33.34058,44.40088,Baghdad
231,377,Coot,51.16679,-56.8148,Coot
232,864,For,39.21455,-76.51941,For
233,268,Baghdad,33.34058,44.40088,Baghdad
233,664,Vienna,48.20849,16.37208,Vienna
233,1431,Paris,48.85341,2.3488,Paris
233,1693,London,51.50853,-0.12574,London
234,217,Light,-34.40981,138.84367,Light
236,221,Garden,45.7747,-86.5507,Garden
236,943,Asfar,30.3,35.66667,Asfar
239,237,river,45.75278,0.36194,River
239,547,Fort,29.52749,-95.77089,Fort
239,630,For,39.21455,-76.51941,For
239,709,river,45.75278,0.36194,River
239,733,Memlah,34.30101,70.10191,Memlah
23,182,River,45.75278,0.36194,River
23,246,For,39.21455,-76.51941,For
23,583,Baghdad,33.34058,44.40088,Baghdad
240,186,Baghdad,33.34058,44.40088,Baghdad
240,401,Amara,11.5,38.5,Amara
241,360,Baghdad,33.34058,44.40088,Baghdad
241,626,Persia,27.0,51.0,Persia
241,1031,Baghdad,33.34058,44.40088,Baghdad
243,368,Baghdad,33.34058,44.40088,Baghdad
