original_entity,geonames,fcode,lat,lng,resolved_entity
Ramadi,geonames:98717,IQ,33.42056,43.30778,Ramadi
Europe,geonames:6255148,,48.69096,9.14062,Europe
Swera,geonames:91225,IQ,36.37456,44.57847,Swera
Baghdadieh,,,,,Baghdadieh
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Arabistan,geonames:127084,IR,30.5,50.0,Arabistan
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Parran,geonames:4364968,US,38.6029,-76.57023,Parran
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
London,geonames:2643743,GB,51.50853,-0.12574,London
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Faraj,geonames:92185,IQ,35.73978,43.90521,Faraj
Deir,geonames:361838,EG,25.33503,32.58179,Deir
Satur,geonames:91450,IQ,36.18042,43.79816,Satur
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Montpellier,geonames:2992166,FR,43.61093,3.87635,Montpellier
Baghdadieh,,,,,Baghdadieh
Bostan,geonames:4930956,US,42.35843,-71.05977,Bostan
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Montpellier,geonames:2992166,FR,43.61093,3.87635,Montpellier
Carmes,geonames:5492165,US,35.89365,-105.3364,Carmes
Montpellier,geonames:2992166,FR,43.61093,3.87635,Montpellier
Marie Joseph,geonames:3721327,HT,19.16667,-72.31667,Marie Joseph
Tarascon,geonames:2973393,FR,43.80583,4.66028,Tarascon
Carmes,geonames:5492165,US,35.89365,-105.3364,Carmes
Turquie,geonames:298795,TR,39.0,35.0,Turquie
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
Marie Joseph,geonames:3721327,HT,19.16667,-72.31667,Marie Joseph
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Montpellier,geonames:2992166,FR,43.61093,3.87635,Montpellier
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Baluchistan,geonames:1183606,PK,28.47849,65.64355,Baluchistan
Port Said,geonames:358617,EG,31.12339,32.41926,Port Said
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
Euphrates,geonames:170792,SY,35.16667,40.28333,Euphrates
Aleppo,geonames:170063,SY,36.20124,37.16117,Aleppo
Pere,geonames:7100355,PK,33.68952,73.64238,Pere
Marie Joseph,geonames:3721327,HT,19.16667,-72.31667,Marie Joseph
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Tessy,geonames:2973058,FR,48.97381,-1.06087,Tessy
Lebanon Mountains,geonames:272077,LB,34.00083,35.99917,Lebanon Mountains
Damascus,geonames:170654,SY,33.5102,36.29128,Damascus
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Baghdadieh,,,,,Baghdadieh
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Okes,geonames:303614,TR,38.22549,31.54934,Okes
England,geonames:6269131,GB,52.16045,-0.70312,England
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Sheikh Saad,geonames:172591,SY,32.83548,36.03716,Sheikh Saad
Ajaj,geonames:250806,JO,32.67463,35.67898,Ajaj
Mond,geonames:3720731,HT,20.05,-72.8,Mond
Jubela,,,,,Jubela
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Baluchistan,geonames:1183606,PK,28.47849,65.64355,Baluchistan
London,geonames:2643743,GB,51.50853,-0.12574,London
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Faraj,geonames:92185,IQ,35.73978,43.90521,Faraj
Sheikh Saad,geonames:172591,SY,32.83548,36.03716,Sheikh Saad
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Arabistan,geonames:127084,IR,30.5,50.0,Arabistan
Philippopolis,geonames:164626,SY,32.85237,36.62847,Philippopolis
Turkey,geonames:298795,TR,39.0,35.0,Turkey
Baghdadieh,,,,,Baghdadieh
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Diala,geonames:1432221,IN,33.23562,74.37585,Diala River
Tarascon,geonames:2973393,FR,43.80583,4.66028,Tarascon
Marie Joseph,geonames:3721327,HT,19.16667,-72.31667,Marie Joseph
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Damascus,geonames:170654,SY,33.5102,36.29128,Damascus
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Diala,geonames:1432221,IN,33.23562,74.37585,Diala River
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Persia,geonames:130758,IR,32.0,53.0,Persia
Hassa,geonames:7358210,YE,14.34116,43.88275,Hassa
Hassa,geonames:7358210,YE,14.34116,43.88275,Hassa
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Malamir,geonames:130697,IR,31.83027,49.86756,Malamir
England,geonames:6269131,GB,52.16045,-0.70312,England
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Baghdadieh,,,,,Baghdadieh
Polus,geonames:641071,FI,64.41667,24.7,Polus
Sheikh Saad,geonames:172591,SY,32.83548,36.03716,Sheikh Saad
Sheikh Saad,geonames:172591,SY,32.83548,36.03716,Sheikh Saad
Jubela,,,,,Jubela
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Malamir,geonames:130697,IR,31.83027,49.86756,Malamir
Fao,geonames:2268339,PT,37.01869,-7.92716,Fâo
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Ashar,geonames:99577,IQ,30.51565,47.84078,Ashar
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Keran,geonames:3029182,FR,44.23307,4.93272,Keran
Teheran,geonames:112931,IR,35.69439,51.42151,Teheran
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Agha Khan,geonames:1341856,PK,30.83706,66.86635,Agha Khan
Sheikh Saad,geonames:172591,SY,32.83548,36.03716,Sheikh Saad
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Pacha,geonames:1443311,AF,32.81259,67.07747,Pacha
Baghdadieh,,,,,Baghdadieh
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Port Said,geonames:358617,EG,31.12339,32.41926,Port Said
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
Tarascon,geonames:2973393,FR,43.80583,4.66028,Tarascon
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Hammadi,geonames:374164,SD,12.68333,29.98333,Hammadi
Svoboda,geonames:726532,BG,42.23333,25.43333,Svoboda
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Port Said,geonames:358617,EG,31.12339,32.41926,Port Said
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Bazin,geonames:3730513,HT,19.73439,-72.35582,Bazin
Port Said,geonames:358617,EG,31.12339,32.41926,Port Said
Alexandretta,geonames:311111,TR,36.58718,36.17347,Alexandretta
Aleppo,geonames:170063,SY,36.20124,37.16117,Aleppo
Bazin,geonames:3730513,HT,19.73439,-72.35582,Bazin
Alexandretta,geonames:311111,TR,36.58718,36.17347,Alexandretta
Bagdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
Abdulkerim,geonames:325501,TR,39.4392,31.97957,Abdulkerim
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Constantinople,geonames:745044,TR,41.01384,28.94966,Constantinople
Germany,geonames:2921044,DE,51.5,10.5,Germany
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Saleh,geonames:1393779,PK,30.81925,67.32467,Saleh
Baghdadieh,,,,,Baghdadieh
Sened,geonames:2473182,TN,34.54046,9.25263,Sened
Satur,geonames:91450,IQ,36.18042,43.79816,Satur
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Faraj,geonames:92185,IQ,35.73978,43.90521,Faraj
Scarsdale,geonames:5136433,US,41.0051,-73.78458,Scarsdale
Belem,geonames:3405870,BR,-1.45583,-48.50444,Belem
Ismail Beg,geonames:95398,IQ,35.74712,44.51734,Ismail Beg
Assyria,geonames:8378483,IQ,36.19099,44.0093,Assyria
Paran,geonames:1430296,IN,33.27275,74.17194,Paran
Scarsdale,geonames:5136433,US,41.0051,-73.78458,Scarsdale
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Ismail Beg,geonames:95398,IQ,35.74712,44.51734,Ismail Beg
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Blosse,geonames:2781681,AT,47.18333,10.85,Blosse
Kalat,geonames:1175296,PK,29.02663,66.59361,Kalat
Chiha,geonames:172541,SY,35.15507,36.68449,Chiha
