original_entity	geonames	fcode	lat	lng
Khalifah	geonames:73887	YE	14.88065	43.31353
Pacha	geonames:1443311	AF	32.81259	67.07747
Baghdadieh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Port Said	geonames:358617	EG	31.12339	32.41926
Turkistan	geonames:1524787	KZ	43.25	68.66667
Tarascon	geonames:2973393	FR	43.80583	4.66028
Constantinople	geonames:745044	TR	41.01384	28.94966
Turkistan	geonames:1524787	KZ	43.25	68.66667
Chiha	geonames:172541	SY	35.15507	36.68449
Chiha	geonames:172541	SY	35.15507	36.68449
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Hammadi	geonames:374164	SD	12.68333	29.98333
Svoboda	geonames:726532	BG	42.23333	25.43333
Baghdad	geonames:98182	IQ	33.34058	44.40088
Port Said	geonames:358617	EG	31.12339	32.41926
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Ulto	geonames:477685	RU	46.21338	39.58851
Chiha	geonames:172541	SY	35.15507	36.68449
Bazin	geonames:3730513	HT	19.73439	-72.35582
Port Said	geonames:358617	EG	31.12339	32.41926
Alexandretta	geonames:311111	TR	36.58718	36.17347
Aleppo	geonames:170063	SY	36.20124	37.16117
Bazin	geonames:3730513	HT	19.73439	-72.35582
Alexandretta	geonames:311111	TR	36.58718	36.17347
Bagdad	geonames:98182	IQ	33.34058	44.40088
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Ulto	geonames:477685	RU	46.21338	39.58851
Constantinople	geonames:745044	TR	41.01384	28.94966
Abdulkerim	geonames:325501	TR	39.4392	31.97957
Chiha	geonames:172541	SY	35.15507	36.68449
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Constantinople	geonames:745044	TR	41.01384	28.94966
Germany	geonames:2921044	DE	51.5	10.5
Baghdad	geonames:98182	IQ	33.34058	44.40088
Basreh	geonames:6686495	IR	36.1445	45.574
Saleh	geonames:1393779	PK	30.81925	67.32467
Baghdadieh				
Sened	geonames:2473182	TN	34.54046	9.25263
Satur	geonames:91450	IQ	36.18042	43.79816
Khalifah	geonames:73887	YE	14.88065	43.31353
Okes	geonames:303614	TR	38.22549	31.54934
Faraj	geonames:92185	IQ	35.73978	43.90521
Scarsdale	geonames:5136433	US	41.0051	-73.78458
Belem	geonames:3405870	BR	-1.45583	-48.50444
Ismail Beg	geonames:95398	IQ	35.74712	44.51734
Assyria	geonames:8378483	IQ	36.19099	44.0093
Paran	geonames:1430296	IN	33.27275	74.17194
Scarsdale	geonames:5136433	US	41.0051	-73.78458
Khalifah	geonames:73887	YE	14.88065	43.31353
Basreh	geonames:6686495	IR	36.1445	45.574
